,KC index,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,lng,sqft_living15,sqft_lot15,dists_parks (m),dists_coffee (m),dists_restr (m),dists_trail (m),dists_gyms (m),dists_bus (m),dists_groc (m),dists_play (m),dists_pubs (m)
15932,15932,9808610190,20140509T000000,782000.0,4.0,2.5,2830,20345,2.0,0,0,3,10,1980,850,1979,0,98004,47.6462,-122.191,2830,13732,"[714, 1289, 1488, 1956, 2008, 2278]","[1062, 1263, 1452, 1644, 2291, 2491]","[485, 738, 772, 1268, 1490, 1516]","[1816, 2171, 3378, 3605, 3620, 3707]","[757, 1921, 2263, 2447, 2791, 2821]","[502, 1671, 2088, 2176, 2489, 2551]","[1467, 2252, 2297, 2321, 2873, 3143]","[711, 3612, 4104, 4151, 4205, 4352]","[1716, 1717, 2953, 3045, 3073, 3216]"
16004,16004,4122900190,20140512T000000,1346400.0,5.0,1.75,3380,20021,1.0,0,0,4,8,1690,1690,1963,0,98004,47.6395,-122.211,3260,19809,"[738, 1491, 2047, 2053, 2068, 2083]","[903, 939, 978, 1267, 1929, 2388]","[907, 955, 960, 970, 1204, 1517]","[1502, 1820, 2049, 3465, 4473, 4516]","[915, 2175, 2380, 2437, 2536, 2587]","[500, 574, 1171, 2116, 3440, 3671]","[934, 1528, 2363, 2548, 2720, 3073]","[1767, 2636, 4313, 4713, 5027, 5763]","[1963, 1966, 2506, 2561, 2639, 2697]"
16012,16012,5536100020,20141215T000000,987000.0,3.0,2.0,2160,15788,1.0,0,0,3,8,2160,0,1951,0,98004,47.6227,-122.207,2260,9787,"[820, 827, 940, 1119, 1152, 1391]","[597, 652, 672, 714, 731, 737]","[445, 453, 456, 459, 465, 496]","[731, 2610, 2888, 3404, 3930, 4239]","[673, 873, 1016, 1070, 1284, 1306]","[2119, 2122, 2480, 3933, 4737, 4813]","[477, 560, 1103, 1416, 1543, 1737]","[1925, 3329, 3894, 5487, 5732, 6038]","[674, 726, 786, 849, 906, 942]"
16013,16013,5536100020,20150512T000000,1190000.0,3.0,2.0,2160,15788,1.0,0,0,3,8,2160,0,1951,0,98004,47.6227,-122.207,2260,9787,"[820, 827, 940, 1119, 1152, 1391]","[597, 652, 672, 714, 731, 737]","[445, 453, 456, 459, 465, 496]","[731, 2610, 2888, 3404, 3930, 4239]","[673, 873, 1016, 1070, 1284, 1306]","[2119, 2122, 2480, 3933, 4737, 4813]","[477, 560, 1103, 1416, 1543, 1737]","[1925, 3329, 3894, 5487, 5732, 6038]","[674, 726, 786, 849, 906, 942]"
16162,16162,5078400190,20141016T000000,915000.0,3.0,1.0,1560,8232,1.0,0,0,3,7,1560,0,1952,0,98004,47.62300000000001,-122.205,1930,8286,"[666, 673, 815, 1130, 1151, 1455]","[590, 646, 659, 671, 697, 744]","[393, 397, 412, 484, 495, 520]","[619, 2725, 2978, 3320, 3849, 4111]","[572, 748, 945, 967, 1153, 1162]","[2152, 2156, 2406, 3896, 4660, 4801]","[461, 487, 1248, 1342, 1497, 1605]","[2078, 3262, 3899, 5586, 5623, 6005]","[626, 681, 753, 813, 868, 908]"
16184,16184,1925059073,20141010T000000,1300000.0,5.0,1.75,2130,19180,1.0,0,0,3,8,1500,630,1968,0,98004,47.63800000000001,-122.213,3650,19180,"[626, 1415, 1926, 2001, 2005, 2291]","[737, 775, 961, 1389, 2122, 2352]","[1009, 1014, 1124, 1155, 1358, 1381]","[1449, 1689, 1862, 3664, 4672, 4719]","[1126, 2178, 2289, 2367, 2528, 2619]","[434, 481, 1379, 2314, 3647, 3889]","[988, 1449, 2235, 2352, 2905, 3049]","[1991, 2413, 4502, 4865, 4890, 5651]","[2152, 2155, 2396, 2451, 2525, 2584]"
16258,16258,1652500010,20150326T000000,2328000.0,4.0,3.5,4420,20759,2.0,0,0,3,11,4420,0,2003,0,98004,47.6354,-122.221,3020,20666,"[920, 1134, 1344, 1777, 2250, 2251]","[114, 132, 1500, 1990, 2341, 2381]","[1294, 1309, 1527, 1531, 1784, 1820]","[1203, 1224, 1726, 4327, 5133, 5144]","[1789, 2394, 2533, 2540, 2717, 2774]","[551, 615, 2044, 2798, 4149, 4452]","[1520, 1655, 2019, 2215, 3299, 3317]","[1844, 2612, 4256, 4925, 5259, 5538]","[2432, 2485, 2541, 2604, 2606, 2610]"
16267,16267,1561600095,20140514T000000,1058000.0,4.0,2.0,2290,11137,1.0,0,0,4,8,2290,0,1955,0,98004,47.5887,-122.201,2300,10463,"[510, 726, 1183, 1382, 1566, 1798]","[1417, 2045, 2400, 2416, 2434, 2475]","[1420, 1693, 2025, 2062, 2352, 2362]","[989, 1031, 1351, 2495, 2535, 2911]","[1544, 1632, 1726, 2012, 2086, 2304]","[1626, 3716, 3860, 4437, 5861, 5880]","[2412, 2432, 2509, 2638, 2738, 2845]","[343, 2718, 4272, 4394, 5565, 6016]","[2240, 2398, 2415, 2725, 2776, 2817]"
16385,16385,9533100080,20140820T000000,781000.0,3.0,1.5,1290,8175,1.0,0,0,4,7,820,470,1952,0,98004,47.6296,-122.205,2130,8577,"[490, 907, 910, 1313, 1862, 2150]","[670, 1132, 1292, 1321, 1323, 1392]","[606, 619, 632, 642, 1077, 1084]","[366, 2473, 2564, 3612, 3876, 4414]","[1185, 1192, 1258, 1420, 1548, 1636]","[1526, 1549, 1707, 3163, 4410, 4515]","[341, 653, 1221, 1741, 1973, 2175]","[2285, 2549, 4624, 5365, 5491, 5702]","[1329, 1384, 1466, 1521, 1572, 1614]"
16441,16441,4340000010,20141030T000000,1220000.0,3.0,2.25,2640,7544,1.0,0,0,3,10,2640,0,1995,0,98004,47.6224,-122.195,2650,7904,"[193, 200, 289, 1248, 1586, 1683]","[334, 564, 619, 667, 749, 778]","[200, 317, 331, 353, 377, 380]","[746, 2789, 3327, 3432, 3617, 3694]","[275, 350, 448, 525, 548, 856]","[2397, 2620, 2645, 3929, 4029, 4220]","[771, 861, 895, 1191, 1234, 1266]","[2818, 3256, 3781, 4834, 5424, 5470]","[704, 732, 818, 833, 850, 882]"
16525,16525,2025059026,20150225T000000,1980000.0,4.0,3.5,4500,44384,1.0,0,0,3,12,3340,1160,1990,0,98004,47.6323,-122.192,2540,26287,"[969, 980, 1294, 1409, 2258, 2292]","[548, 734, 1054, 1323, 1455, 1616]","[388, 683, 686, 901, 989, 1051]","[829, 2691, 3362, 3398, 3658, 4186]","[730, 934, 1345, 1398, 1438, 1514]","[1343, 2115, 2173, 3017, 3677, 4034]","[706, 1010, 1655, 1807, 1961, 2150]","[2175, 3297, 4846, 4891, 5116, 5200]","[1703, 1749, 1757, 1799, 1891, 1921]"
16580,16580,8081500050,20150302T000000,1810000.0,5.0,2.5,4250,20441,1.0,0,1,4,11,2490,1760,1984,0,98004,47.6377,-122.211,3620,16304,"[542, 1564, 1883, 1888, 2075, 2213]","[809, 873, 908, 1237, 2126, 2280]","[858, 864, 1026, 1036, 1317, 1320]","[1333, 1842, 2002, 3537, 4668, 4709]","[1019, 2041, 2196, 2262, 2416, 2466]","[576, 629, 1268, 2311, 3631, 3847]","[837, 1347, 2167, 2355, 2919, 2922]","[1925, 2481, 4510, 4913, 5012, 5587]","[2161, 2164, 2315, 2370, 2447, 2505]"
16660,16660,3835500005,20140528T000000,1100000.0,2.0,1.75,2050,11900,1.0,0,0,4,8,2050,0,1950,0,98004,47.6209,-122.219,2980,11900,"[863, 1122, 1353, 1446, 1486, 1526]","[1165, 1173, 1180, 1203, 1204, 1348]","[784, 806, 1142, 1163, 1186, 1204]","[1560, 2025, 2483, 3996, 4492, 4561]","[1484, 1612, 1706, 1722, 1854, 1912]","[2133, 2173, 3052, 4266, 4446, 5591]","[404, 1076, 1380, 2052, 2058, 2581]","[1014, 3836, 3988, 4688, 5435, 5758]","[1348, 1379, 1380, 1437, 1489, 1502]"
16697,16697,3323500010,20150107T000000,1150000.0,3.0,2.5,2100,15120,1.0,0,0,4,8,2100,0,1953,0,98004,47.6201,-122.222,3070,16078,"[642, 927, 1244, 1408, 1582, 1718]","[1347, 1352, 1370, 1376, 1391, 1541]","[1014, 1035, 1260, 1349, 1360, 1372]","[1800, 1952, 2462, 4143, 4602, 4629]","[1702, 1792, 1801, 1944, 2003, 2130]","[2236, 2283, 3252, 4361, 4412, 5588]","[373, 1281, 1620, 2203, 2276, 2796]","[792, 4010, 4020, 4510, 5198, 5517]","[1550, 1569, 1576, 1621, 1671, 1680]"
16828,16828,5739601300,20150330T000000,605000.0,2.0,1.0,860,6510,1.0,0,0,3,7,860,0,1952,0,98004,47.6021,-122.202,1740,10800,"[381, 736, 779, 779, 983, 1094]","[928, 950, 984, 1025, 1141, 1232]","[870, 872, 879, 889, 895, 903]","[2107, 2117, 2454, 2492, 2759, 2860]","[818, 1029, 1104, 1212, 1429, 1473]","[2691, 3808, 4401, 4415, 4518, 4665]","[1092, 1792, 1848, 2124, 2126, 2208]","[1579, 3085, 3863, 5531, 5631, 5784]","[907, 930, 1130, 1344, 1379, 1467]"
16854,16854,8861000235,20150324T000000,825000.0,4.0,2.75,2220,11925,1.0,0,0,3,7,1560,660,1953,1985,98004,47.6381,-122.205,2500,11377,"[653, 1698, 1705, 1907, 1966, 2086]","[458, 795, 1321, 1355, 2060, 2162]","[522, 539, 646, 707, 975, 1282]","[1182, 2281, 2452, 3108, 4541, 4567]","[671, 1756, 2062, 2101, 2118, 2247]","[892, 974, 1044, 2218, 3478, 3622]","[493, 1255, 2165, 2552, 2678, 2863]","[1659, 2824, 4421, 4866, 5463, 5481]","[2107, 2110, 2263, 2318, 2403, 2455]"
16933,16933,6448000010,20150428T000000,1388000.0,4.0,2.25,2940,20384,2.0,0,0,4,9,2940,0,1970,0,98004,47.6214,-122.227,3410,19910,"[273, 962, 971, 1769, 1848, 1979]","[1612, 1647, 1748, 1751, 1771, 1773]","[951, 1271, 1288, 1741, 1761, 1764]","[1630, 2083, 2197, 4540, 4931, 5023]","[2086, 2182, 2193, 2324, 2402, 2513]","[2170, 2230, 3374, 4402, 4538, 5241]","[736, 1674, 1909, 2463, 2602, 3182]","[421, 4096, 4109, 4324, 4863, 5223]","[1945, 1968, 1973, 2021, 2072, 2081]"
16969,16969,3025059093,20140729T000000,3100000.0,5.0,5.25,5090,23669,2.0,0,0,3,12,5090,0,2006,0,98004,47.6297,-122.216,3830,22605,"[621, 1474, 1614, 1615, 1868, 1902]","[829, 836, 1270, 1607, 1645, 1673]","[563, 577, 1252, 1268, 1472, 1484]","[1151, 1674, 1868, 4279, 4429, 4957]","[1682, 1842, 1912, 1980, 2032, 2043]","[1171, 1197, 2137, 3263, 4592, 4810]","[1033, 1273, 1404, 1480, 2566, 2664]","[1589, 2872, 4672, 4819, 5450, 5829]","[1702, 1754, 1807, 1871, 1929, 1962]"
16986,16986,3210700170,20141202T000000,650000.0,4.0,2.0,1610,8976,1.0,0,0,4,8,1610,0,1966,0,98004,47.6011,-122.192,1930,8976,"[285, 1059, 1144, 1251, 1268, 1348]","[454, 511, 1163, 1243, 1321, 1363]","[450, 493, 533, 1127, 1160, 1179]","[1360, 1698, 1777, 2362, 2885, 3043]","[535, 554, 681, 1271, 1283, 1659]","[3040, 3052, 3761, 4136, 4736, 4770]","[1139, 1473, 1795, 1978, 2177, 2723]","[1451, 3387, 3739, 4969, 5485, 5606]","[709, 1286, 1382, 1523, 1550, 1685]"
17093,17093,3210700380,20140916T000000,640000.0,4.0,2.75,2100,11894,1.0,0,0,4,8,1720,380,1968,0,98004,47.6006,-122.194,2390,9450,"[376, 950, 1008, 1183, 1238, 1307]","[532, 634, 1150, 1222, 1327, 1345]","[528, 609, 642, 1134, 1136, 1186]","[1513, 1749, 1834, 2292, 2773, 3069]","[669, 692, 807, 1226, 1277, 1670]","[2899, 3196, 3899, 4185, 4760, 4764]","[1165, 1582, 1909, 2077, 2165, 2651]","[1369, 3406, 3652, 5128, 5645, 5680]","[820, 1248, 1330, 1533, 1563, 1690]"
17151,17151,4107100190,20150324T000000,2500000.0,4.0,3.75,3480,14850,1.0,0,4,3,9,1870,1610,1951,2013,98004,47.6227,-122.216,4780,18480,"[1109, 1247, 1418, 1424, 1444, 1488]","[1057, 1063, 1097, 1099, 1141, 1225]","[483, 506, 996, 996, 1050, 1051]","[1268, 2052, 2437, 3923, 4432, 4633]","[1299, 1508, 1524, 1719, 1735, 1800]","[1942, 1973, 2763, 4019, 4652, 5335]","[653, 938, 1089, 1759, 1990, 2391]","[1258, 3558, 4084, 4838, 5698, 6040]","[1207, 1246, 1267, 1328, 1385, 1406]"
17324,17324,9809000010,20150106T000000,1629000.0,5.0,2.5,3090,16583,2.0,0,0,4,9,3090,0,1964,0,98004,47.6458,-122.218,3740,17853,"[925, 1569, 1804, 1811, 1844, 2130]","[1147, 1185, 1473, 1752, 2015, 2247]","[1318, 1422, 1433, 1466, 1470, 1485]","[1427, 1925, 2373, 3817, 3979, 4048]","[1378, 3042, 3233, 3303, 3320, 3457]","[597, 635, 1599, 1687, 3029, 3403]","[1785, 2166, 2387, 2731, 3172, 3173]","[1783, 2990, 3755, 4081, 4630, 5339]","[1475, 1479, 3339, 3395, 3444, 3445]"
17407,17407,9286730020,20150331T000000,1802750.0,5.0,3.25,3890,20005,1.0,0,0,3,10,2260,1630,1977,0,98004,47.6312,-122.224,3450,20176,"[1121, 1260, 1297, 1453, 1930, 2069]","[500, 536, 1775, 2119, 2143, 2175]","[1133, 1139, 1778, 1789, 1850, 2011]","[1053, 1323, 1772, 4723, 4982, 5241]","[2231, 2256, 2435, 2570, 2601, 2629]","[1067, 1133, 2479, 3316, 4667, 4964]","[1587, 1654, 1786, 1993, 3078, 3273]","[1327, 3103, 4057, 5186, 5432, 5437]","[2240, 2288, 2328, 2392, 2450, 2478]"
17412,17412,4122900020,20140626T000000,1388000.0,4.0,3.0,4040,20001,1.0,0,0,3,9,2020,2020,1972,2001,98004,47.6408,-122.212,2990,20098,"[895, 1379, 1989, 2025, 2035, 2189]","[947, 988, 1048, 1378, 1802, 2313]","[910, 994, 1107, 1120, 1203, 1663]","[1664, 1743, 2024, 3491, 4353, 4400]","[933, 2330, 2542, 2600, 2663, 2749]","[417, 502, 1189, 1994, 3329, 3583]","[1081, 1690, 2520, 2587, 2672, 3012]","[1711, 2708, 4183, 4574, 4968, 5750]","[1832, 1836, 2666, 2721, 2798, 2856]"
17434,17434,2062600020,20140708T000000,530000.0,2.0,2.5,1785,779,2.0,0,0,3,7,1595,190,1975,0,98004,47.5959,-122.198,1780,794,"[414, 907, 917, 977, 1127, 1228]","[781, 1235, 1601, 1647, 1710, 1856]","[782, 1211, 1244, 1562, 1587, 1618]","[1368, 1770, 1920, 2114, 2176, 3525]","[1131, 1250, 1272, 1559, 1758, 2149]","[2311, 3495, 4014, 4153, 5148, 5160]","[1687, 2183, 2511, 2578, 2671, 2761]","[842, 3130, 3783, 5221, 5617, 6097]","[1422, 1630, 1671, 2013, 2046, 2155]"
17470,17470,8084900170,20141023T000000,1562000.0,5.0,3.0,3910,16200,1.0,0,0,4,9,2890,1020,1960,0,98004,47.6326,-122.217,3620,16200,"[581, 1563, 1661, 1709, 1829, 1830]","[542, 545, 1229, 1751, 1919, 1962]","[870, 887, 1235, 1245, 1726, 1741]","[1319, 1530, 1618, 4185, 4712, 5243]","[1727, 1963, 2102, 2143, 2287, 2347]","[841, 871, 1967, 2975, 4314, 4559]","[1234, 1241, 1713, 1794, 2874, 2894]","[1758, 2648, 4566, 5148, 5150, 5518]","[2004, 2057, 2115, 2179, 2237, 2271]"
17538,17538,2425700022,20140929T000000,425000.0,4.0,1.75,1730,11890,1.0,0,0,2,7,980,750,1955,0,98004,47.5979,-122.194,2100,12325,"[660, 785, 1011, 1093, 1131, 1190]","[446, 897, 1435, 1500, 1594, 1643]","[445, 878, 918, 1413, 1427, 1462]","[1458, 1567, 1805, 1993, 2500, 3365]","[790, 882, 939, 1475, 1569, 1963]","[2679, 3186, 3865, 3959, 5038, 5044]","[1464, 1858, 2181, 2362, 2445, 2745]","[1072, 3145, 3844, 5251, 5539, 5751]","[1095, 1514, 1584, 1826, 1856, 1981]"
17626,17626,2025059201,20140731T000000,725000.0,3.0,1.75,1880,13300,1.0,0,0,3,7,1380,500,1967,0,98004,47.63399999999999,-122.204,3550,10883,"[410, 1254, 1261, 1709, 2218, 2274]","[252, 782, 1389, 1414, 1706, 1786]","[249, 260, 989, 1051, 1076, 1112]","[724, 2447, 2492, 3264, 4237, 4775]","[1057, 1375, 1640, 1664, 1801, 1852]","[1228, 1240, 1287, 2674, 3915, 4026]","[258, 794, 1711, 2185, 2268, 2583]","[2059, 2596, 4874, 5100, 5324, 5531]","[1802, 1857, 1942, 1994, 2042, 2086]"
17778,17778,1872900065,20150410T000000,1210000.0,3.0,1.75,1900,13600,1.0,0,0,4,8,1900,0,1956,0,98004,47.6163,-122.219,2510,16600,"[772, 945, 995, 1200, 1384, 1404]","[1051, 1054, 1088, 1125, 1137, 1282]","[1061, 1063, 1135, 1135, 1146, 1161]","[1866, 2427, 2939, 3748, 4125, 4219]","[1363, 1489, 1521, 1630, 1768, 1935]","[2644, 2683, 3492, 3935, 4762, 5440]","[109, 1077, 1688, 1830, 2463, 2557]","[1127, 3532, 4299, 4886, 5356, 5600]","[1280, 1295, 1317, 1328, 1336, 1374]"
18005,18005,5494000040,20141201T000000,1444000.0,4.0,2.75,2660,9547,1.0,0,1,3,8,1930,730,1968,2006,98004,47.61600000000001,-122.218,2410,10001,"[823, 868, 1076, 1119, 1305, 1479]","[976, 978, 1017, 1053, 1069, 1210]","[984, 988, 1054, 1063, 1082, 1085]","[1836, 2497, 3001, 3666, 4056, 4137]","[1283, 1412, 1457, 1548, 1704, 1868]","[2677, 2715, 3486, 3902, 4779, 5358]","[171, 1013, 1659, 1749, 2450, 2479]","[1209, 3467, 4300, 4968, 5427, 5663]","[1199, 1221, 1248, 1257, 1261, 1297]"
18069,18069,1561600056,20141017T000000,1735000.0,4.0,3.5,4010,9654,2.0,0,0,3,10,4010,0,2007,0,98004,47.5891,-122.2,1870,9873,"[482, 650, 1192, 1300, 1502, 1729]","[1334, 1973, 2353, 2390, 2436, 2497]","[1336, 1777, 1954, 1992, 2307, 2320]","[940, 1049, 1424, 2408, 2449, 2911]","[1612, 1640, 1719, 1934, 2015, 2268]","[1713, 3675, 3776, 4356, 5836, 5853]","[2391, 2455, 2494, 2688, 2722, 2806]","[278, 2687, 4278, 4463, 5555, 5963]","[2169, 2358, 2380, 2680, 2769, 2803]"
18273,18273,5078400210,20140616T000000,921000.0,4.0,1.5,2220,9496,1.0,0,0,4,7,1490,730,1954,0,98004,47.6233,-122.206,1800,8286,"[737, 743, 897, 1100, 1171, 1470]","[637, 700, 716, 716, 756, 792]","[460, 464, 468, 468, 475, 532]","[633, 2644, 2899, 3396, 3925, 4139]","[651, 830, 1027, 1032, 1217, 1244]","[2090, 2092, 2394, 3864, 4731, 4817]","[463, 525, 1202, 1330, 1562, 1687]","[2008, 3246, 3945, 5543, 5664, 6066]","[689, 744, 812, 873, 929, 967]"
18280,18280,9533100145,20150205T000000,750000.0,3.0,1.0,1120,8549,1.0,0,0,3,7,1120,0,1952,0,98004,47.6294,-122.205,1440,8640,"[508, 892, 895, 1294, 1840, 2140]","[690, 1148, 1273, 1299, 1301, 1370]","[604, 625, 627, 651, 1056, 1064]","[355, 2478, 2574, 3626, 3859, 4396]","[1171, 1177, 1240, 1403, 1570, 1619]","[1544, 1566, 1728, 3185, 4432, 4536]","[321, 673, 1198, 1723, 1959, 2154]","[2276, 2571, 4602, 5387, 5494, 5697]","[1307, 1362, 1444, 1500, 1550, 1593]"
18432,18432,6448000100,20140617T000000,1728000.0,4.0,3.0,3700,20570,1.0,0,0,4,10,1850,1850,1976,0,98004,47.6212,-122.224,3080,17595,"[491, 982, 1153, 1598, 1710, 1774]","[1529, 1529, 1549, 1555, 1568, 1605]","[1075, 1094, 1150, 1516, 1538, 1543]","[1766, 1882, 2291, 4334, 4786, 4821]","[1860, 1973, 1995, 2098, 2192, 2288]","[2137, 2190, 3245, 4343, 4493, 5459]","[560, 1449, 1705, 2302, 2392, 2957]","[641, 3991, 4190, 4326, 5076, 5421]","[1720, 1746, 1749, 1800, 1851, 1862]"
18482,18482,4389201095,20150511T000000,3650000.0,5.0,3.75,5020,8694,2.0,0,1,3,12,3970,1050,2007,0,98004,47.6146,-122.213,4190,11275,"[523, 715, 925, 1133, 1235, 1452]","[613, 627, 692, 724, 761, 860]","[622, 637, 665, 713, 717, 728]","[1728, 2848, 3261, 3314, 3731, 3735]","[891, 1037, 1145, 1167, 1406, 1549]","[2864, 2890, 3478, 3776, 4869, 4952]","[558, 744, 1344, 1563, 2093, 2152]","[1614, 3166, 4318, 5373, 5475, 5787]","[801, 874, 903, 921, 925, 926]"
18511,18511,8964800975,20140731T000000,1650000.0,4.0,2.75,3190,14904,1.0,0,3,4,9,1940,1250,1949,1992,98004,47.6178,-122.214,2600,11195,"[881, 940, 1180, 1251, 1280, 1425]","[699, 715, 719, 752, 753, 908]","[712, 721, 747, 763, 796, 822]","[1486, 2532, 2971, 3496, 3988, 4079]","[1120, 1146, 1201, 1354, 1367, 1540]","[2501, 2528, 3177, 4121, 4528, 5161]","[403, 677, 1311, 1554, 2127, 2190]","[1426, 3523, 4004, 5161, 5748, 5814]","[930, 931, 949, 979, 1026, 1032]"
18588,18588,4389200761,20150128T000000,1100000.0,3.0,2.25,1560,8570,1.0,0,0,5,7,1080,480,1977,0,98004,47.6155,-122.21,2660,9621,"[549, 572, 877, 1206, 1237, 1373]","[378, 385, 446, 478, 515, 630]","[386, 395, 484, 488, 496, 498]","[1531, 2924, 3109, 3350, 3597, 3717]","[810, 818, 922, 970, 1160, 1304]","[2808, 2827, 3311, 3909, 4746, 4783]","[507, 725, 1171, 1374, 1877, 1914]","[1785, 3179, 4160, 5439, 5536, 5944]","[632, 666, 681, 683, 696, 702]"
18606,18606,9533600100,20141208T000000,1315000.0,4.0,3.0,2860,10292,1.0,0,0,4,8,2860,0,1953,1999,98004,47.6286,-122.206,1840,10273,"[542, 896, 897, 1268, 1756, 2033]","[803, 1217, 1239, 1240, 1264, 1285]","[490, 512, 740, 766, 1005, 1010]","[393, 2427, 2553, 3740, 3835, 4371]","[1121, 1210, 1223, 1382, 1571, 1602]","[1573, 1589, 1838, 3275, 4531, 4643]","[302, 787, 1112, 1607, 1964, 2096]","[2171, 2677, 4525, 5431, 5480, 5752]","[1238, 1294, 1372, 1430, 1482, 1523]"
18770,18770,2344300180,20140619T000000,1027000.0,3.0,2.5,2430,10500,2.0,0,1,3,9,2430,0,1989,0,98004,47.5818,-122.198,3440,12842,"[941, 1305, 1388, 1552, 1915, 1952]","[1948, 2069, 2227, 2295, 2323, 2333]","[1886, 1946, 1948, 1952, 2108, 2117]","[242, 787, 919, 2152, 2748, 2858]","[1009, 1577, 2181, 2597, 2740, 2753]","[1603, 3176, 3938, 4411, 6066, 6439]","[1931, 2307, 2315, 2623, 2763, 3250]","[741, 2119, 3795, 4829, 5041, 5441]","[2245, 2896, 3077, 3180, 3204, 3279]"
18875,18875,4389201241,20141230T000000,1945000.0,4.0,4.0,4690,6900,2.0,0,0,3,11,3480,1210,2001,0,98004,47.6165,-122.216,2800,11240,"[818, 982, 999, 1186, 1233, 1531]","[827, 833, 862, 899, 912, 1056]","[838, 839, 909, 923, 939, 951]","[1693, 2543, 3020, 3557, 4025, 4036]","[1200, 1267, 1298, 1426, 1545, 1710]","[2629, 2661, 3371, 3965, 4695, 5240]","[263, 854, 1518, 1627, 2326, 2337]","[1325, 3450, 4192, 5080, 5582, 5776]","[1070, 1091, 1102, 1108, 1112, 1153]"
18876,18876,9808700025,20150211T000000,1500000.0,3.0,1.5,1910,21374,1.0,0,0,1,8,1910,0,1955,0,98004,47.6453,-122.214,2850,16167,"[1207, 1416, 1667, 1740, 1876, 2049]","[1217, 1258, 1373, 1504, 1729, 2046]","[1013, 1182, 1249, 1331, 1334, 1383]","[1685, 2126, 2176, 3527, 3920, 3978]","[1073, 2802, 3036, 3062, 3114, 3259]","[602, 674, 1295, 1579, 2930, 3253]","[1539, 2125, 2209, 2621, 3040, 3141]","[1533, 3062, 3725, 4090, 4908, 5632]","[1390, 1394, 3188, 3243, 3320, 3378]"
18890,18890,3394100230,20140522T000000,1050000.0,4.0,2.5,3030,12590,1.5,0,0,4,10,3030,0,1988,0,98004,47.5806,-122.193,2980,11635,"[939, 1107, 1418, 1556, 1668, 1791]","[1673, 1833, 1932, 1944, 1968, 2607]","[1549, 1555, 1710, 1721, 1727, 1747]","[242, 604, 1215, 1831, 2569, 2750]","[1242, 1943, 2147, 2389, 2452, 2622]","[1975, 2779, 3680, 4111, 6066, 6309]","[1536, 1918, 1919, 3014, 3142, 3327]","[903, 1724, 3880, 4486, 5058, 5117]","[1851, 2901, 2964, 3371, 3378, 3410]"
19049,19049,8146300205,20140710T000000,725000.0,3.0,1.75,1690,8489,1.0,0,0,4,7,1690,0,1959,0,98004,47.6079,-122.192,1850,8536,"[470, 890, 946, 1028, 1042, 1309]","[361, 618, 624, 645, 722, 737]","[286, 340, 443, 511, 549, 590]","[1521, 2006, 2312, 2528, 3113, 3582]","[307, 636, 645, 913, 975, 1142]","[3218, 3634, 3963, 4021, 4090, 4095]","[450, 810, 1144, 1268, 1539, 2261]","[2193, 3355, 4082, 4730, 4875, 5282]","[248, 830, 851, 870, 966, 1018]"
19108,19108,2025059131,20140904T000000,980000.0,4.0,4.25,3250,11780,2.0,0,0,3,8,2360,890,1944,2001,98004,47.6322,-122.203,1800,9000,"[475, 1043, 1049, 1496, 2149, 2384]","[345, 825, 1492, 1505, 1525, 1577]","[283, 308, 931, 955, 1123, 1154]","[511, 2577, 2582, 3317, 4028, 4566]","[1191, 1234, 1429, 1450, 1588, 1748]","[1384, 1422, 1462, 2877, 4104, 4195]","[328, 589, 1517, 2061, 2067, 2382]","[2232, 2553, 4893, 5072, 5528, 5615]","[1597, 1650, 1737, 1788, 1835, 1879]"
19295,19295,2450000165,20140618T000000,650000.0,3.0,1.5,1320,8114,1.0,0,0,3,8,1320,0,1951,0,98004,47.5827,-122.195,2110,8114,"[750, 1143, 1281, 1323, 1669, 1988]","[1778, 1914, 2035, 2123, 2130, 2540]","[1756, 1764, 1782, 1931, 1938, 1948]","[309, 542, 1164, 2108, 2512, 2641]","[1244, 1812, 1988, 2431, 2528, 2581]","[1835, 3007, 3692, 4166, 6214, 6309]","[1743, 2103, 2139, 2836, 2988, 3147]","[641, 1968, 3995, 4762, 5077, 5317]","[2053, 2753, 3061, 3113, 3148, 3278]"
19320,19320,2591700037,20150212T000000,746000.0,3.0,1.75,1910,12321,1.0,0,0,4,7,1100,810,1952,0,98004,47.5995,-122.198,1910,11761,"[652, 753, 794, 916, 1115, 1272]","[764, 923, 1202, 1251, 1322, 1457]","[762, 892, 914, 1165, 1196, 1224]","[1726, 1824, 2114, 2169, 2552, 3155]","[949, 1014, 1085, 1182, 1358, 1749]","[2614, 3488, 4180, 4293, 4768, 4778]","[1289, 1832, 2165, 2188, 2305, 2539]","[1240, 3455, 3502, 5452, 5597, 5803]","[1088, 1242, 1293, 1613, 1646, 1756]"
